herbivores,area
no,0.707106781
no,24.95068737
no,46.56397749
no,0.707106781
no,5.139863811
no,6.180550137
no,46.95031842
no,22.89894757
no,19.42915335
no,37.13323309
no,14.19726734
no,3.150365058
no,21.61082136
no,16.64213929
no,45.54070707
no,47.93532101
yes,0.707106781
yes,32.20602428
yes,35.07757688
yes,17.53828384
yes,6.24376489
yes,13.04401779
yes,25.63385262
yes,36.50395047
yes,37.52248393
yes,45.78151592
yes,20.02633266
yes,9.972983505
yes,2.751108867
yes,40.13190751
yes,40.81112593
yes,44.86306722